Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Etapa de la prueba,Ambiente,Reportado,Fecha Reporte,Versión de corrección 1,Desarrollador,Sprint última regresión,En qué versión fue corregido?,Estrategia de ejecución
Test Case,ASE-T2261,NGA-E10810,Compare Tool - Analyze expected calculation changes,"ASE-1224,NGA-12427",High,Pass,Mar/24/2025 - Apr/06/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,,Maria Cancqui,27/03/2025,0,Nicole Gagneux,NGA-12585 - Capture Percent Work Week Used in Usage Records (after caching issues resolved),,Automation Planned
Test Case,ASE-T2288,NGA-E10445,Validate that Zebra Striping if FTE % work schedule contains a decimal (PSD-8801) is fixed,,Normal,Pass,Feb/17/2025 - Mar/02/2025,Functional,Calcs,System,Abacus,,High,Done,Dev5,Maximiliano Sosa,19/02/2025,0,Shane Thomas,NGA-12430 - Zebra Striping if FTE % work schedule contains a decimal (PSD-8801),,Automation Not Planned
Test Case,ASE-T2316,NGA-E10453,Before & After Deploy / P / Mimic the deployment of the fix to a client with an employee that is experiencing the issue reported in NGA-12430,,Normal,Pass,Feb/17/2025 - Mar/02/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Alexandre Norberto,21/02/2025,0,Nicole Gagneux,NGA-12430 - Zebra Striping if FTE % work schedule contains a decimal (PSD-8801),,Automation Not Planned
Test Case,ASE-T2317,NGA-E10463,"Before & After Deploy / P / Mimic the deployment of the fix to a client with an employee that is experiencing the issue reported in NGA-12430 (75.3%, FTE = 35 hs)",,Normal,Pass,Feb/17/2025 - Mar/02/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Alexandre Norberto,21/02/2025,0,Shane Thomas,NGA-12430 - Zebra Striping if FTE % work schedule contains a decimal (PSD-8801),,Automation Not Planned
Test Case,ASE-T2318,NGA-E10483,P / Exhaustion: (F%-75.3) (RB-12w) Consecutive case,"ASE-678,ASE-880",Low,Fail,Feb/24/2025 - Mar/09/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Dev5,Rani Patha,24/02/2025,0,Nicole Gagneux,NGA-12430 - Zebra Striping if FTE % work schedule contains a decimal (PSD-8801),,Automated
Test Case,ASE-T2318,NGA-E10485,P / Exhaustion: (F%-75.3) (RB-12w) Consecutive case,"ASE-678,ASE-880",Low,Pass,Feb/24/2025 - Mar/09/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Dev5,Lucas Simionato Bueno,24/02/2025,0,Nicole Gagneux,NGA-12430 - Zebra Striping if FTE % work schedule contains a decimal (PSD-8801),,Automation Not Planned
Test Case,ASE-T2360,NGA-E10597,"P/ Before & After Deploy:  'zz Calculation Activity Display' is off after the deploy of the new code, cases that showed Calculation case activity no longer display those records in Case Activity",,Low,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Lucas Simionato Bueno,14/03/2025,0,Nicole Gagneux,NGA-12934 Disabling the Calculation Activity feature should hide the Calculation Activity from the UI,,Automation Not Planned
Test Case,ASE-T2361,NGA-E10598,"P/ Calculation: Earlier case impacts determinations on consecutive case, multiple policies",ASE-1322,Normal,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Lucas Simionato Bueno,15/03/2025,0,Wara Rojas,NGA-13186 Calculation Activity Incorrect Dates,,Automation Not Planned
Test Case,ASE-T2362,NGA-E10599,"P/ Calculation: Before & After NGA-13186, earlier case impacts intermittent time off requests on another case",ASE-1322,Low,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Lucas Simionato Bueno,14/03/2025,0,Wara Rojas,NGA-13186 Calculation Activity Incorrect Dates,,Automation Not Planned
Test Case,ASE-T2363,NGA-E10600,"P/ Calculation: Before & After NGA-13186, w/approved intermittent case, itors single status with pending/approved/denied, single policy",ASE-1322,Low,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,14/03/2025,0,Wara Rojas,NGA-13186 Calculation Activity Incorrect Dates,,Automation Not Planned
Test Case,ASE-T2364,NGA-E10601,"P/ Calculation:  Before & After NGA-13186, w/approved/denied/pending intermittent case, itors pending/approved/denied, multiple policies FMLA and ME-FML",ASE-1322,Low,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,14/03/2025,0,Wara Rojas,NGA-13186 Calculation Activity Incorrect Dates,,Automation Not Planned
Test Case,ASE-T2365,NGA-E10614,"When zz Calculation Activity Display feature is disabled at employer level, Calculation Case Activity records are hidden",,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Daniela Medina,17/03/2025,0,Nicole Gagneux,NGA-12934 Disabling the Calculation Activity feature should hide the Calculation Activity from the UI,,Automation Not Planned
Test Case,ASE-T2366,NGA-E10631,"P/ Calculation: w/approved intermittent case, itors with pending/approved/denied, multiple policies",ASE-1322,Low,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,15/03/2025,0,Wara Rojas,NGA-13186 Calculation Activity Incorrect Dates,,Automation Not Planned
Test Case,ASE-T2367,NGA-E10632,P/ Calculation: Open consecutive case is impacted by a work schedule update,ASE-1322,Happy Path,Pass,Mar/10/2025 - Mar/23/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,15/03/2025,0,Wara Rojas,NGA-13186 Calculation Activity Incorrect Dates,,Automation Not Planned
Test Case,ASE-T2368,NGA-E10646,P/ Calculation: (W) Record is generated after consecutive case is approved,ASE-1322,Happy Path,Pass,Mar/17/2025 - Mar/30/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Carlos Santiago,17/03/2025,0,Wara Rojas,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Not Planned
Test Case,ASE-T2369,NGA-E10645,P/ Calculation: (W) Record is generated after submitting approved ITOR,ASE-1247,Happy Path,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,End-to-End,Abacus,,High,Done,,Carlos Santiago,17/03/2025,0,Wara Rojas,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Not Planned
Test Case,ASE-T2370,NGA-E10652,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Happy Path,Pass,Mar/17/2025 - Mar/30/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,,Maria Cancqui,18/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2370,NGA-E10666,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Happy Path,Pass,Mar/17/2025 - Mar/30/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Dev5,Rani Patha,19/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Needs Review
Test Case,ASE-T2370,NGA-E10768,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Happy Path,Pass,Mar/24/2025 - Apr/06/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Dev5,Rani Patha,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Needs Review
Test Case,ASE-T2371,NGA-E10651,"P/ Gain Back: Before & After NGA-12429, (W)(RB-12m) Entitlement exhausted in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day",ASE-1367,Low,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,Dev5,Paolo Calderon,18/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2372,NGA-E10660,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Happy Path,Pass,Mar/17/2025 - Mar/30/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,,Paolo Calderon,19/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2372,NGA-E10665,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Happy Path,Pass,Mar/17/2025 - Mar/30/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Dev5,Paolo Calderon,19/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2372,NGA-E10799,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Happy Path,Pass,Mar/24/2025 - Apr/06/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Dev5,Paolo Calderon,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2373,NGA-E10664,P/ Gain Back: (W)(RB-12m) Entitlement exhausted in intermittent/consecutive cases and gained back during an intermittent case in leap year,ASE-1224,Happy Path,Fail,Mar/17/2025 - Mar/30/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Dev5,Maria Cancqui,19/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2373,NGA-E10708,P/ Gain Back: (W)(RB-12m) Entitlement exhausted in intermittent/consecutive cases and gained back during an intermittent case in leap year,ASE-1224,Happy Path,Fail,Mar/17/2025 - Mar/30/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Dev5,Rani Patha,21/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2373,NGA-E10753,P/ Gain Back: (W)(RB-12m) Entitlement exhausted in intermittent/consecutive cases and gained back during an intermittent case in leap year,ASE-1224,Happy Path,Pass,Mar/24/2025 - Apr/06/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Dev5,Rani Patha,24/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2374,NGA-E10667,P/ Gain Back: (W)(RB-12m) Entitlement not exhausted in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Low,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,Dev5,Rani Patha,19/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2374,NGA-E10801,P/ Gain Back: (W)(RB-12m) Entitlement not exhausted in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Low,Pass,Mar/24/2025 - Apr/06/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,Dev5,Jose Subieta,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2375,NGA-E10695,P/ Gain Back: (W)(RB-52w) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Jose Subieta,19/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2376,NGA-E10697,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day - v2 policy,ASE-1367,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Daniela Medina,20/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2377,NGA-E10698,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a reduced case in leap year with usage on leap day  is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Daniela Medina,20/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2377,NGA-E10802,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a reduced case in leap year with usage on leap day  is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Daniela Medina,26/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2378,NGA-E10699,P/ Gain Back: (F%)(RB-12m) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Daniela Medina,21/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2378,NGA-E10803,P/ Gain Back: (F%)(RB-12m) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Rani Patha,26/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2379,NGA-E10703,P/ Gain Back: (W)(RB-12m) Entitlement exhausted  in a consecutive case in leap year with usage on leap day is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Rani Patha,21/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2380,NGA-E10709,P/ Gain Back: (R)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Normal,Fail,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,Dev5,Rani Patha,21/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2380,NGA-E10794,P/ Gain Back: (R)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,Dev5,Rani Patha,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2381,NGA-E10723,P/ Gain Back: (V)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Fail,Mar/24/2025 - Apr/06/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Maria Luisa Silva,24/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2381,NGA-E10790,P/ Gain Back: (V)(RB-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in non-leap year,ASE-1367,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,AbsenceTracker,System,Abacus,,High,Done,,Maria Luisa Silva,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2382,NGA-E10729,P/ Gain Back: (F%) (RB-12m) Entitlement exhausted in a consecutive case and gained back during a consecutive case (in week w/holiday),"ASE-76,ASE-1290",Normal,Fail,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Maria Luisa Silva,24/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2383,NGA-E10751,P/ Gain Back: (W) (RB-12m) Entitlement exhausted in a consecutive case and gained back during a consecutive case (in week w/holiday),"ASE-76,ASE-1290",Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Maria Luisa Silva,24/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Planned
Test Case,ASE-T2384,NGA-E10759,P/ Gain Back: (W)(RF-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Low,Pass,Mar/24/2025 - Apr/06/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Test2,Maria Luisa Silva,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2384,NGA-E10767,P/ Gain Back: (W)(RF-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Low,In Progress,Mar/24/2025 - Apr/06/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Dev5,Anand Pedhadiya,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2384,NGA-E10774,P/ Gain Back: (W)(RF-12m) Entitlement exhausted  in a consecutive case in non-leap year is gained back during an intermittent case in leap year without usage on leap day,ASE-1367,Low,Pass,Mar/24/2025 - Apr/06/2025,Regression,AbsenceTracker,System,Abacus,,High,Done,Dev5,Anand Pedhadiya,25/03/2025,0,Wara Rojas,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2385,NGA-E10775,DB - (F) Percentage of work week captured in user array when policy has 'work week' entitlement type,ASE-1322,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Anand Pedhadiya,25/03/2025,0,Nicole Gagneux,NGA-12585 - Capture Percent Work Week Used in Usage Records (after caching issues resolved),,Automation Not Planned
Test Case,ASE-T2386,NGA-E10792,DB - (V) Percentage of work week captured in user array when policy has 'work week' entitlement type,ASE-1322,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Maximiliano Sosa,26/03/2025,0,Nicole Gagneux,NGA-12585 - Capture Percent Work Week Used in Usage Records (after caching issues resolved),,Automation Not Planned
Test Case,ASE-T2387,NGA-E10791,DB - (R) Percentage of work week captured in user array when policy has 'work week' entitlement type,ASE-1322,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Rani Patha,26/03/2025,0,Nicole Gagneux,NGA-12585 - Capture Percent Work Week Used in Usage Records (after caching issues resolved),,Needs Review
Test Case,ASE-T2389,NGA-E10811,Selected endpoints perform within the expected ranges when comparing 'release/v-202502.0' branch to 'userstory/NGA-12585-capture-percent-work-week-refactor-mk' branch,,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Rani Patha,27/03/2025,0,Nicole Gagneux,NGA-12585 - Capture Percent Work Week Used in Usage Records (after caching issues resolved),,Automated
Test Case,ASE-T2400,NGA-E11308,P/ Calculation: Record is generated after removing an intermittent time off request,"ASE-1247,NGA-13587",Happy Path,Pass,Jun/02/2025 - Jun/15/2025,Functional,AbsenceTracker,End-to-End,Abacus,,High,Done,Test1,Maria Cancqui,2/6/2025,0,Nicole Gagneux,Platform_202506.0 - Abacus,Platform_202506.2,Automation Not Planned
Test Case,ASE-T2411,NGA-E11309,P / Calculation: (W) Extend an approved permanent administrative case from the front,ASE-1270,Normal,Pass,Jun/02/2025 - Jun/15/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Maria Cancqui,2/6/2025,0,Wara Rojas,Platform_202506.0 - Abacus,Platform_202506.2,Automation Not Planned
Test Case,ASE-T2412,NGA-E11294,P / Calculation: (W) Editing an ITOR in an approved span,,Happy Path,Pass,Jun/02/2025 - Jun/15/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Test1,Maria Cancqui,3/6/2025,0,Nicole Gagneux,Platform_202506.0 - Abacus,Platform_202506.2,Automation Not Planned
Test Case,ASE-T2446,NGA-E11296,P / Calculation: (W) Approve an intermittent case (w/ approved ITOR),,Normal,Pass,Jun/02/2025 - Jun/15/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Test1,Maria Cancqui,2/6/2025,0,Nicole Gagneux,Platform_202506.0 - Abacus,Platform_202506.2,Automation Not Planned
